person, question, group, truth, anchor, highOrLow, estimate
1, 1, 2, 1983, 1970, 2, 1990
2, 1, 2, 1983, 1970, 2, 1988
3, 1, 2, 1983, 1970, 2, 1990
4, 1, 2, 1983, 1970, 2, 1985
5, 1, 2, 1983, 1970, 2, 1980
6, 1, 2, 1983, 1970, 2, 1980
7, 1, 2, 1983, 1970, 2, 1990
8, 1, 2, 1983, 1970, 2, 1980
9, 1, 2, 1983, 1970, 2, 1980
10, 1, 2, 1983, 1970, 2, 1975
11, 1, 2, 1983, 1970, 2, 1985
12, 1, 2, 1983, 1970, 2, 1989
13, 1, 2, 1983, 1970, 2, 1980
14, 1, 2, 1983, 1970, 2, 1989
15, 1, 2, 1983, 1970, 2, 1974
16, 1, 2, 1983, 1970, 2, 1995
17, 1, 2, 1983, 1970, 2, 1982
18, 1, 2, 1983, 1970, 2, 2000
19, 1, 2, 1983, 1970, 2, 1995
20, 1, 2, 1983, 1970, 2, 1977
21, 1, 2, 1983, 1970, 2, 1982
22, 1, 2, 1983, 1970, 2, 1982
23, 1, 2, 1983, 1970, 2, 1980
24, 1, 2, 1983, 1970, 2, 1992
25, 1, 2, 1983, 1970, 2, 1987
26, 1, 2, 1983, 1970, 2, 2003
27, 1, 2, 1983, 1970, 2, 1991
28, 1, 2, 1983, 1970, 2, 1973
29, 1, 2, 1983, 1970, 2, 1985
30, 1, 2, 1983, 1970, 1, 1969
31, 1, 2, 1983, 1970, 2, 1982
32, 1, 2, 1983, 1970, 2, 1980
33, 1, 2, 1983, 1970, 2, 1984
34, 1, 2, 1983, 1970, 2, 1990
35, 1, 2, 1983, 1970, 2, 1980
36, 1, 2, 1983, 1970, 2, 1999
37, 1, 2, 1983, 1970, 2, 1975
38, 1, 2, 1983, 1970, 2, 1980
39, 1, 2, 1983, 1970, 2, 1983
40, 1, 2, 1983, 1970, 2, 1983
41, 1, 2, 1983, 1970, 2, 1982
42, 1, 2, 1983, 1970, 2, 2000
43, 1, 2, 1983, 1970, 1, 1967
44, 1, 2, 1983, 1970, 2, 1980
45, 1, 2, 1983, 1970, 2, 1979
46, 1, 2, 1983, 1970, 2, 1989
47, 1, 2, 1983, 1970, 2, 1990
48, 1, 2, 1983, 1970, 2, 1985
49, 1, 2, 1983, 1970, 2, 1980
50, 1, 2, 1983, 1970, 2, 1985
51, 1, 2, 1983, 1970, 2, 1990
52, 1, 2, 1983, 1970, 2, 1980
53, 1, 2, 1983, 1970, 2, 1980
54, 1, 2, 1983, 1970, 2, 1985
55, 1, 2, 1983, 1970, 2, 1980
56, 1, 2, 1983, 1970, 2, 1994
57, 1, 2, 1983, 1970, 2, 1982
58, 1, 2, 1983, 1970, 2, 1973
59, 1, 2, 1983, 1970, 2, 1980
60, 1, 2, 1983, 1970, 2, 1989
61, 1, 2, 1983, 1970, 2, 1980
62, 1, 2, 1983, 1970, 2, 1975
63, 1, 2, 1983, 1970, 2, 1990
64, 1, 2, 1983, 1970, 2, 1980
65, 1, 2, 1983, 1970, 2, 1998
66, 1, 2, 1983, 1970, 2, 1988
67, 1, 2, 1983, 1970, 2, 1990
68, 1, 2, 1983, 1970, 2, 1980
69, 1, 2, 1983, 1970, 2, 1993
70, 1, 2, 1983, 1970, 2, 1987
71, 1, 2, 1983, 1970, 2, 1992
72, 1, 2, 1983, 1970, 2, 2003
73, 1, 2, 1983, 1970, 2, 1980
74, 1, 1, 1983, 1990, 1, 1980
75, 1, 1, 1983, 1990, 1, 1986
76, 1, 1, 1983, 1990, 2, 1995
77, 1, 1, 1983, 1990, 1, 1989
78, 1, 1, 1983, 1990, 2, 2005
79, 1, 1, 1983, 1990, 1, 1982
80, 1, 1, 1983, 1990, 1, 1984
81, 1, 1, 1983, 1990, 2, 1995
82, 1, 1, 1983, 1990, 1, 1980
83, 1, 1, 1983, 1990, 2, 1993
84, 1, 1, 1983, 1990, 1, 1982
85, 1, 1, 1983, 1990, 2, 1994
86, 1, 1, 1983, 1990, 1, 1985
87, 1, 1, 1983, 1990, 2, 1991
88, 1, 1, 1983, 1990, 1, 1980
